filename,peak_accel_g,total_duration_s,arias_total_ms,duration_5_95_unfiltered_s,t5_unfiltered_s,t95_unfiltered_s,duration_5_95_T0.1s,t5_T0.1s,t95_T0.1s,arias_filtered_T0.1,duration_5_95_T0.2s,t5_T0.2s,t95_T0.2s,arias_filtered_T0.2,duration_5_95_T0.5s,t5_T0.5s,t95_T0.5s,arias_filtered_T0.5,duration_5_95_T1.0s,t5_T1.0s,t95_T1.0s,arias_filtered_T1.0,duration_5_95_T2.0s,t5_T2.0s,t95_T2.0s,arias_filtered_T2.0,duration_5_95_T3.0s,t5_T3.0s,t95_T3.0s,arias_filtered_T3.0
Seismogram_USC_128_1224_bb.grm,0.025772024,119.99000000000001,0.019930115867748423,45.7823013165443,19.670568061998203,65.4528693785425,25.357947151459534,20.335131791040595,45.69307894250013,8.461468998548475e-05,25.46417868388107,22.309704832957532,47.7738835168386,0.0006414055153277001,34.713626190826545,21.351216246008722,56.064842436835264,0.00025745811885151756,47.687305216356265,21.055440404412675,68.74274562076894,0.0009143960967747431,50.08030318689001,21.621296720702823,71.70159990759284,0.003645115168440531,46.55526446136771,24.256036566257936,70.81130102762565,0.00135263878927384
Seismogram_USC_265_59_bb.grm,0.0295068,119.99000000000001,0.010781180679669801,26.470207996270183,3.282749881574725,29.752957877844906,8.523877133905906,3.36983866242156,11.893715796327465,0.00015526757509018213,9.133100718471619,2.862019052501921,11.99511977097354,0.0009567331858651777,16.79812905340219,3.1924250691512897,19.99055412255348,0.00048798471473786645,31.847082755954595,2.5071280358141617,34.35421079176876,0.0014783450773824414,22.4614537762264,3.406507672689785,25.867961448916184,0.001030369724965689,11.759030543854397,1.4263266738739506,13.185357217728347,0.0003940265069026452
Seismogram_USC_243_3_bb.grm,0.020217571,119.99000000000001,0.008692716702788605,12.331174330341844,6.591010884859189,18.922185215201033,4.39322948919879,5.647633767470632,10.040863256669422,6.640030953215251e-05,4.61775221224459,5.628145480238394,10.245897692482984,0.00028376626524628107,9.68717649610456,6.927726013381249,16.61490250948581,0.00019476131800269788,21.14893510848374,5.341840053552641,26.490775162036382,0.000990497421500624,32.87852326473747,6.517277655459737,39.3958009201972,0.0013588748886243977,8.939924896283074,6.102542176756065,15.04246707303914,0.0021422152957614768
Seismogram_USC_218_121_bb.grm,0.014784475,119.99000000000001,0.023384444876368832,28.712893355661834,24.2526319901716,52.965525345833434,2.2085524743991485,16.2652980891131,18.473850563512247,5.152233571485766e-06,2.8947195065266875,16.177007381453326,19.071726887980013,2.8220141930129143e-05,19.49575501255021,16.328763917761652,35.82451893031186,0.00019404793441686906,36.42815283854841,16.194815082287263,52.62296792083567,0.0008652656872657744,14.849234937405583,36.60092294697892,51.4501578843845,0.011919963830730157,21.7745872115748,21.853044018889005,43.627631230463805,0.004456798316881265
Seismogram_USC_124_142_bb.grm,0.00734872,119.99000000000001,0.002874830793291347,23.336759014372227,27.359743033691032,50.69650204806326,3.117485454103182,24.545460298826022,27.662945752929204,7.138494561861204e-07,3.6640043581670163,24.23852136451126,27.902525722678277,2.66648401082054e-06,16.950037681038904,24.9638896558105,41.913927336849405,3.6184194807127045e-05,26.884410241204883,25.267000677946143,52.151410919151026,0.00018382680075782677,21.41468998390605,29.576881342880704,50.991571326786755,0.001625014688392045,21.739170244961432,29.82031087237421,51.55948111733564,0.0002979498918507692
Seismogram_USC_128_1093_bb.grm,0.022203304,119.99000000000001,0.010967117981750967,39.34374489949678,9.580707699502698,48.92445259899947,18.781282241229853,9.727864918842382,28.509147160072235,8.469143276206196e-05,18.409575883243598,9.379852480941398,27.789428364184996,0.0006559484395632567,19.168608238242133,12.525067979149728,31.69367621739186,0.0005257986756852354,31.70671018422492,11.778136755548896,43.48484693977382,0.0019116486501225315,58.97789418158564,9.74937587040944,68.72727005199508,0.0014412758422311974,34.30344338463765,10.04902938168307,44.35247276632072,0.002010088080442489
Seismogram_USC_271_28_bb.grm,0.03246906,119.99000000000001,0.010339486511931267,6.481345808851253,6.117581942198215,12.598927751049468,4.170059132083575,6.973321521069431,11.143380653153006,0.00013061252519507935,4.917178507481862,6.402161501895059,11.319340009376921,0.0005645631285509723,8.405449805116948,6.853217052061578,15.258666857178527,0.0006565730937809351,6.739236084894159,6.534639907171096,13.273875992065255,0.0016315228897331754,13.630446399696574,5.2163622004062296,18.846808600102804,0.0011951967165642035,13.625676720218067,2.799260887646615,16.42493760786468,0.0003976357162230559
Seismogram_USC_248_41_bb.grm,0.001364185,119.99000000000001,5.636163358075276e-05,61.544036152317354,18.54877485546593,80.09281100778328,5.890688339960555,17.50213473869791,23.392823078658466,9.166877871811522e-07,6.381641626904454,17.22025562823241,23.601897255136866,4.783277033197609e-06,21.92011232863108,18.82071984699338,40.74083217562446,1.4114426111657962e-06,32.31740060223039,24.042355109792226,56.35975571202262,7.178084107312993e-06,53.180346510523734,29.20729560640514,82.38764211692887,9.477779589678695e-06,60.581770559129076,22.226769325512826,82.8085398846419,4.754103510931515e-06
Seismogram_USC_125_118_bb.grm,0.002956963,119.99000000000001,0.00034215193551847476,37.449586236152655,21.05366831041863,58.503254546571284,2.581906725957186,20.981022783177128,23.562929509134314,4.7495169065199317e-07,2.4825802113114293,20.59840591995299,23.08098613126442,9.360729011611708e-06,9.536040306519062,19.89387930630598,29.429919612825042,1.152183386282712e-05,33.64647075468572,21.293761523853203,54.94023227853892,1.6863434228060956e-05,28.959599571357124,21.689079019542504,50.64867859089963,0.00011657439326923693,48.86672307866209,21.955317403559153,70.82204048222124,4.492473615002247e-05
Seismogram_USC_130_243_bb.grm,0.014300314,119.99000000000001,0.005558828562269451,29.82099580471481,16.055099946293073,45.87609575100788,4.655960348347733,15.27415200442207,19.930112352769804,2.6009906054641126e-05,4.3297512770038065,15.02211252084477,19.351863797848576,0.00016247800687025003,15.391095232284027,15.549255299777371,30.940350532061398,7.810466671478831e-05,23.95107027869971,17.145267664533023,41.09633794323273,0.00039066316795058424,33.577241434279024,15.36882006143612,48.94606149571514,0.0010419163677565415,19.28340882494946,16.761588040146613,36.044996865096074,0.001217914375341955
