Dataset,N_Records,Duration_5_75_Min,Duration_5_75_Mean,Duration_5_75_Median,Duration_5_75_Max,Duration_5_95_Min,Duration_5_95_Mean,Duration_5_95_Median,Duration_5_95_Max,Arias_Min,Arias_Mean,Arias_Median,Arias_Max
CyberShake,6914,1.1124011049914635,13.689176003287931,12.212518311234465,51.07568853392797,2.6518727994348357,27.756901099009355,26.592009207849763,80.43137050765044,6.747948933268795e-06,0.011378053340996713,0.0021667309794295,1.087533364304103
NGA-West2,8,0.8,3.4124999999999996,1.8,9.6,2.9,6.762499999999999,6.199999999999999,11.3,0.0,0.11250000000000002,0.1,0.3
