Filename,CS_Duration_5_75_s,CS_Duration_5_95_s,CS_Arias_Intensity_ms,Source,Station
Seismogram_USC_128_1224_bb.grm,16.123195719297584,45.7823013165443,0.0199301158677484,CyberShake,USC
Seismogram_USC_265_59_bb.grm,6.860614999056725,26.470207996270183,0.0107811806796698,CyberShake,USC
Seismogram_USC_243_3_bb.grm,6.620574589091193,12.331174330341844,0.0086927167027886,CyberShake,USC
Seismogram_USC_218_121_bb.grm,24.27605633310366,28.712893355661834,0.0233844448763688,CyberShake,USC
Seismogram_USC_124_142_bb.grm,15.647560281220592,23.336759014372227,0.0028748307932913,CyberShake,USC
Seismogram_USC_128_1093_bb.grm,9.108814225071088,39.34374489949678,0.0109671179817509,CyberShake,USC
Seismogram_USC_271_28_bb.grm,3.6191588049952967,6.481345808851253,0.0103394865119312,CyberShake,USC
Seismogram_USC_248_41_bb.grm,29.63410804782948,61.544036152317354,5.636163358075276e-05,CyberShake,USC
Seismogram_USC_125_118_bb.grm,9.91270298177758,37.449586236152655,0.0003421519355184,CyberShake,USC
Seismogram_USC_130_243_bb.grm,12.674654211537447,29.82099580471481,0.0055588285622694,CyberShake,USC
Seismogram_USC_124_35_bb.grm,12.344980961446492,21.83405530950783,0.002497553850699,CyberShake,USC
Seismogram_USC_270_137_bb.grm,27.098978850151504,40.57615997673643,0.0039981779689816,CyberShake,USC
Seismogram_USC_242_3_bb.grm,2.514220709083123,4.566814827573477,0.0044071250790264,CyberShake,USC
Seismogram_USC_130_44_bb.grm,10.60969966080757,34.59109208831853,0.0001129756410395,CyberShake,USC
Seismogram_USC_239_16_bb.grm,19.53004988437673,32.647163356284,0.0001064478215605,CyberShake,USC
Seismogram_USC_128_1193_bb.grm,8.158516512311742,22.494896038024827,0.0334039222209145,CyberShake,USC
Seismogram_USC_221_2_bb.grm,16.544221181911578,38.64441388481853,0.0001569404906126,CyberShake,USC
Seismogram_USC_235_38_bb.grm,3.813119273545869,16.529043419087092,0.0003598742808807,CyberShake,USC
Seismogram_USC_128_470_bb.grm,3.705184292364331,17.298819204901598,0.0013985632946528,CyberShake,USC
Seismogram_USC_232_295_bb.grm,10.231853436819144,21.56989219865373,0.0238967537251141,CyberShake,USC
Seismogram_USC_218_20_bb.grm,23.39536515660941,27.65813720635063,0.0070935015800306,CyberShake,USC
Seismogram_USC_231_13_bb.grm,7.915055490221763,19.872796496311313,0.0039864965913274,CyberShake,USC
Seismogram_USC_266_15_bb.grm,22.91470196966552,30.660417809382587,0.0007885134564113,CyberShake,USC
Seismogram_USC_232_395_bb.grm,18.089616184970843,31.94489228907623,0.0128511170918953,CyberShake,USC
Seismogram_USC_128_221_bb.grm,19.292173756440864,41.401191397004695,0.0002763787603365,CyberShake,USC
Seismogram_USC_220_2_bb.grm,27.998269105920365,44.16886704287472,3.820225356279984e-05,CyberShake,USC
Seismogram_USC_128_570_bb.grm,4.186651822293321,7.601169990476393,0.0044508642537522,CyberShake,USC
Seismogram_USC_139_90_bb.grm,8.0333394038216,20.247279084268147,0.0008390146447807,CyberShake,USC
Seismogram_USC_232_122_bb.grm,19.12366344492289,26.590409588759258,0.0031231496569815,CyberShake,USC
Seismogram_USC_137_23_bb.grm,8.103065169081844,23.14616157697185,0.0004861740959346,CyberShake,USC
Seismogram_USC_270_84_bb.grm,14.87040381009703,24.588895375775067,0.0018972555437894,CyberShake,USC
Seismogram_USC_124_388_bb.grm,8.3894160079003,19.936811644746857,0.1091757644225824,CyberShake,USC
Seismogram_USC_227_82_bb.grm,10.825820172486615,20.884990012104453,0.0049518596208872,CyberShake,USC
Seismogram_USC_128_1259_bb.grm,13.02985650533935,41.9498608170568,0.026768567683676,CyberShake,USC
Seismogram_USC_232_22_bb.grm,21.857501668076548,33.08181385996815,0.0016013914742925,CyberShake,USC
Seismogram_USC_265_24_bb.grm,7.780462010696601,18.30890585745192,0.0010646685207863,CyberShake,USC
Seismogram_USC_8_6_bb.grm,19.428468001192737,26.932976055694553,0.0620562882817088,CyberShake,USC
Seismogram_USC_163_14_bb.grm,5.435089993850006,8.304460344631412,0.0007813860377465,CyberShake,USC
Seismogram_USC_130_189_bb.grm,14.054870039629336,33.54249609617687,0.0017079258131604,CyberShake,USC
Seismogram_USC_125_165_bb.grm,10.754891888417738,38.55477642153747,0.0006957192100424,CyberShake,USC
Seismogram_USC_196_87_bb.grm,6.372303380468534,20.618379166472387,0.0007387634086147,CyberShake,USC
Seismogram_USC_124_288_bb.grm,10.175689636490995,18.47150327733319,0.0359258084512108,CyberShake,USC
Seismogram_USC_130_39_bb.grm,10.164189564127406,33.01565308895707,0.0002650682522437,CyberShake,USC
Seismogram_USC_219_106_bb.grm,25.305591158342857,31.559370636751453,0.0006363506767169,CyberShake,USC
Seismogram_USC_148_112_bb.grm,28.71051609214514,35.839938929936565,0.0005508307059935,CyberShake,USC
Seismogram_USC_235_45_bb.grm,18.546078948849456,36.361754470266256,0.0005456403865301,CyberShake,USC
Seismogram_USC_267_5_bb.grm,6.756442454576096,9.487165831246948,0.006337009596436,CyberShake,USC
Seismogram_USC_128_66_bb.grm,9.754516062384656,26.01068708745264,0.0001090682326102,CyberShake,USC
Seismogram_USC_196_132_bb.grm,3.779881267021576,11.716161201600324,0.0017066244091611,CyberShake,USC
Seismogram_USC_266_5_bb.grm,19.91393893281548,24.64625407156515,0.0002854573857176,CyberShake,USC
Seismogram_USC_244_12_bb.grm,2.091308439899802,6.608909766511584,0.4125997369331481,CyberShake,USC
